id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:00 - 06:15,25,33,0,4,29,5,1,13,14,26,21,14,2,6,6,6,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:15 - 06:30,13,27,1,5,40,1,1,9,18,17,16,19,2,2,2,2,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:30 - 06:45,19,28,3,1,38,8,1,14,13,31,17,21,9,10,5,3,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,06:45 - 07:00,13,48,0,3,31,6,1,15,11,24,23,16,8,12,6,8,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:00 - 07:15,18,55,1,16,35,6,5,16,10,42,37,11,15,11,1,5,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:15 - 07:30,24,62,3,2,32,11,1,21,25,34,21,25,11,25,6,13,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:30 - 07:45,21,94,2,1,43,4,2,25,33,36,28,9,24,28,9,5,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,07:45 - 08:00,26,105,2,4,31,12,2,14,26,31,33,34,30,31,17,25,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:00 - 08:15,22,118,3,1,32,6,3,22,28,41,35,13,31,38,16,23,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:15 - 08:30,27,125,2,3,44,9,4,16,20,50,46,10,37,26,12,9,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:30 - 08:45,19,136,2,6,54,12,1,15,19,38,30,18,51,45,8,21,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,08:45 - 09:00,21,108,2,3,42,18,1,25,37,35,46,14,50,52,17,21,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,15:45 - 16:00,23,31,9,14,11,5,7,47,39,27,58,26,5,0,22,28,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,16:00 - 16:15,20,55,0,10,25,6,18,75,38,32,76,26,0,0,15,32,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,16:15 - 16:30,25,60,6,3,14,6,4,67,28,29,73,25,0,0,4,19,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,16:30 - 16:45,27,59,7,3,25,7,11,72,33,35,90,22,0,0,23,20,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,16:45 - 17:00,30,64,13,9,40,4,11,76,40,41,85,16,0,0,24,11,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,17:00 - 17:15,36,73,9,5,29,9,6,85,44,47,100,39,0,0,19,12,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,17:15 - 17:30,31,43,9,6,39,4,9,95,35,55,89,23,0,0,33,32,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,17:30 - 17:45,16,51,18,5,30,16,16,73,33,46,98,28,0,0,21,36,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,17:45 - 18:00,38,37,1,12,59,17,18,53,39,40,101,32,0,0,47,49,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,18:00 - 18:15,40,18,3,11,25,0,30,40,43,50,93,28,0,0,23,25,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,18:15 - 18:30,31,33,22,8,28,8,17,33,26,48,80,9,0,0,19,31,,,,
1,11TH STREET NW / K STREET NW / -,1,2/23/2011,18:30 - 18:45,33,39,13,16,61,16,8,51,22,60,68,17,0,0,44,20,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,06:00 - 06:15,1,3,1,0,52,2,0,0,2,0,16,0,1,0,3,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,06:15 - 06:30,0,0,0,0,71,1,0,3,1,0,17,0,1,0,3,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,06:30 - 06:45,1,2,0,0,94,1,2,6,9,0,16,0,3,1,1,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,06:45 - 07:00,1,2,1,0,94,0,2,6,7,0,20,0,5,1,1,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,07:00 - 07:15,1,4,0,0,149,2,1,5,25,0,33,2,3,0,1,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,07:15 - 07:30,0,2,0,0,143,0,3,11,27,0,29,0,3,0,3,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,07:30 - 07:45,5,2,2,1,183,1,2,18,21,0,45,2,2,2,5,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,07:45 - 08:00,5,12,0,2,171,1,3,21,32,0,36,3,6,1,1,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,08:00 - 08:15,4,6,1,0,200,3,4,20,24,0,30,4,6,1,3,0,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,08:15 - 08:30,4,7,3,1,181,2,1,23,25,0,52,1,11,1,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,08:30 - 08:45,3,8,2,0,208,6,1,29,26,0,50,3,9,1,1,2,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,08:45 - 09:00,4,7,4,6,179,0,5,14,25,0,55,2,5,1,4,2,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,15:30 - 15:45,4,17,6,1,40,3,4,10,2,0,109,2,2,0,1,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,15:45 - 16:00,2,19,6,0,33,4,3,7,7,0,102,1,1,0,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,16:00 - 16:15,1,13,6,1,42,0,1,14,8,0,128,0,1,0,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,16:15 - 16:30,5,23,6,0,38,1,2,8,3,0,117,3,1,0,1,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,16:30 - 16:45,3,25,6,0,34,3,2,10,0,0,147,2,3,1,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,16:45 - 17:00,0,20,8,1,51,5,3,2,0,0,153,0,3,0,2,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,17:00 - 17:15,5,37,7,1,45,4,11,5,3,0,155,1,2,0,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,17:15 - 17:30,1,33,3,0,46,2,4,4,4,0,160,1,2,0,3,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,17:30 - 17:45,1,26,4,3,42,3,1,11,1,0,165,2,5,0,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,17:45 - 18:00,1,19,9,1,40,4,4,8,0,0,165,0,7,0,0,1,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,18:00 - 18:15,4,31,5,0,34,4,4,10,4,0,146,3,4,0,0,2,,,,
10,10TH STREET NE / MARYLAND AVENUE NE / -,10,2/10/2011,18:15 - 18:30,0,23,5,1,40,5,4,5,5,0,132,2,12,1,0,2,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,07:15 - 07:30,0,26,11,58,66,11,0,15,0,1,9,0,2,0,3,2,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,07:30 - 07:45,1,31,18,70,92,9,0,17,2,0,7,0,6,0,5,4,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,07:45 - 08:00,6,51,13,87,106,17,1,25,0,1,17,1,2,0,5,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,08:00 - 08:15,8,58,39,69,90,20,0,36,2,0,16,0,6,14,7,3,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,08:15 - 08:30,3,79,36,88,94,30,0,39,2,0,24,0,8,0,4,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,08:30 - 08:45,5,90,34,82,108,22,5,29,0,0,15,0,1,2,2,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,08:45 - 09:00,9,83,36,78,84,28,3,31,0,0,21,0,5,0,2,3,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,09:00 - 09:15,3,72,38,79,52,26,4,29,0,1,20,0,6,0,2,2,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,09:15 - 09:30,2,48,29,64,56,11,0,19,1,1,15,2,3,0,3,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,09:30 - 09:45,2,28,20,46,33,8,6,24,2,0,11,1,0,2,3,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,09:45 - 10:00,0,39,21,30,26,5,4,10,1,0,6,1,0,0,13,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,10:00 - 10:15,0,20,14,40,30,2,0,10,0,0,7,0,11,0,4,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,10:15 - 10:30,0,14,9,31,30,3,3,12,0,0,5,0,0,0,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,10:30 - 10:45,2,27,17,35,26,5,5,10,0,0,5,0,10,0,13,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,10:45 - 11:00,1,17,15,32,28,2,3,10,1,0,10,0,3,0,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,11:00 - 11:15,1,20,17,40,16,4,1,20,0,0,10,1,1,1,5,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,11:15 - 11:30,0,14,17,30,30,3,4,10,0,0,9,0,0,0,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,11:30 - 11:45,3,16,24,30,32,5,4,8,0,0,7,0,1,0,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,11:45 - 12:00,2,10,16,21,21,0,2,6,0,1,6,1,0,1,1,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,12:00 - 12:15,3,20,11,29,21,5,6,9,1,1,9,0,1,1,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,13:00 - 13:15,1,18,21,34,28,0,3,14,1,0,16,1,1,2,4,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,13:15 - 13:30,3,19,23,33,27,7,3,14,0,0,20,1,0,0,1,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,13:30 - 13:45,2,16,23,39,24,1,1,25,1,0,13,1,0,1,1,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,13:45 - 14:00,1,23,24,34,35,3,6,14,1,0,15,1,0,0,0,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,14:00 - 14:15,2,20,21,37,14,2,3,6,0,0,11,1,0,2,3,2,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,14:15 - 14:30,1,22,30,35,22,2,5,10,1,0,6,0,0,0,0,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,14:30 - 14:45,1,25,21,27,34,3,1,17,0,0,16,0,0,2,3,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,14:45 - 15:00,2,18,14,39,39,3,4,14,1,0,9,1,0,0,1,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,15:00 - 15:15,1,29,28,35,34,2,5,22,0,0,22,0,2,0,5,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,15:15 - 15:30,2,29,37,32,43,0,2,23,0,1,15,1,2,0,5,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,15:30 - 15:45,1,32,31,33,34,4,3,18,0,0,31,2,5,0,3,2,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,15:45 - 16:00,3,37,30,33,29,1,7,11,0,1,30,3,1,1,2,4,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,16:00 - 16:15,2,31,24,44,44,5,7,18,0,1,27,3,3,1,7,4,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,16:15 - 16:30,1,41,40,43,34,4,6,14,0,0,22,1,5,1,7,1,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,16:30 - 16:45,5,33,44,37,34,3,5,10,0,1,25,0,3,4,6,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,16:45 - 17:00,1,34,44,41,36,4,3,25,1,1,20,0,3,1,8,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,17:00 - 17:15,1,48,46,51,42,2,6,22,0,0,27,0,4,0,5,3,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,17:15 - 17:30,2,49,37,55,50,2,5,25,0,0,27,0,7,0,3,0,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,17:30 - 17:45,3,44,47,50,28,8,3,44,0,0,29,2,3,3,9,3,,,,
11,PARK ROAD NW / KLINGLE STREET NW / WALBRIDGE PLACE NW / -,11,3/2/2011,17:45 - 18:00,2,32,60,55,39,5,9,37,0,1,29,2,6,3,9,6,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,06:30 - 06:45,0,430,18,0,0,0,2,181,0,29,12,34,0,7,6,4,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,06:45 - 07:00,0,399,27,0,0,0,1,215,0,20,13,37,1,0,16,3,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,07:00 - 07:15,0,393,28,0,0,0,3,200,0,18,10,42,0,7,5,3,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,07:15 - 07:30,0,384,14,0,0,0,1,243,0,19,11,48,0,4,11,6,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,07:30 - 07:45,0,401,20,0,0,0,2,245,0,14,11,50,1,2,6,5,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,07:45 - 08:00,0,339,21,0,0,0,3,165,0,22,5,34,1,5,3,1,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,08:00 - 08:15,0,315,16,0,0,0,1,143,0,16,7,32,0,2,3,1,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,08:15 - 08:30,0,266,25,0,0,0,5,139,0,11,6,27,0,1,1,1,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,08:30 - 08:45,0,242,19,0,0,0,0,130,0,14,6,24,0,0,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,08:45 - 09:00,0,224,23,0,0,0,0,123,0,15,4,25,0,0,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,09:00 - 09:15,0,210,21,0,0,0,0,118,0,18,5,19,1,0,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,09:15 - 09:30,0,198,10,0,0,0,4,119,0,14,2,20,2,2,3,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,09:30 - 09:45,0,175,19,0,0,0,4,110,0,6,5,13,1,2,1,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,09:45 - 10:00,0,199,20,0,0,0,4,95,0,13,3,15,0,1,5,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,10:00 - 10:15,0,159,9,0,0,0,1,106,0,12,4,11,0,2,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,10:15 - 10:30,0,126,6,0,0,0,3,124,0,7,2,17,0,3,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,10:30 - 10:45,0,158,12,0,0,0,3,129,0,1,1,13,0,0,1,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,10:45 - 11:00,0,151,4,0,0,0,4,131,0,8,2,22,0,0,0,1,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,11:00 - 11:15,0,125,12,0,0,0,7,151,0,10,3,28,0,0,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,11:15 - 11:30,0,121,9,0,0,0,2,141,0,11,2,27,0,0,0,0,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,11:30 - 11:45,0,136,16,0,0,0,6,161,0,5,2,22,0,3,2,1,,,,
12,16TH STREET NW / MISSOURI AVENUE NW / -,12,3/16/2011,11:45 - 12:00,0,130,12,0,0,0,4,125,0,21,1,32,0,0,0,0,,,,
